,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Springfield,1,US,1580678181,22,37.22,-93.3,75.2,10.29
1,Dubti,0,ET,1580678183,55,11.74,41.09,78.26,8.3
2,Kununurra,90,AU,1580677939,88,-15.77,128.73,77.0,5.82
3,Ilo,100,PE,1580678185,77,-17.64,-71.34,73.27,8.43
4,Luderitz,0,NA,1580677915,90,-26.65,15.16,63.43,24.65
5,Shenzhen,20,CN,1580678187,77,22.55,114.07,63.0,11.41
6,Bluff,100,NZ,1580678189,99,-46.6,168.33,62.01,2.13
7,Masallatah,18,LY,1580678190,80,32.62,14.0,55.42,12.06
8,Tessalit,0,ML,1580678191,9,20.2,1.01,71.6,8.46
9,Takoradze,0,GH,1580678193,82,4.88,-1.76,79.09,3.13
10,Chokurdakh,0,RU,1580678194,95,70.63,147.92,-29.24,10.4
11,Sawtell,96,AU,1580677764,88,-30.38,153.1,77.0,3.36
12,Ilhabela,100,BR,1580678197,80,-23.78,-45.36,77.92,3.4
13,Bhan,11,PK,1580678198,36,26.56,67.72,59.56,0.89
14,Rikitea,100,PF,1580678199,77,-23.12,-134.97,79.77,14.7
15,Sitka,20,US,1580677896,69,57.05,-135.33,32.0,4.7
16,Kutum,77,SD,1580678202,25,14.2,24.67,52.12,4.27
17,Kavieng,100,PG,1580677824,81,-2.57,150.8,83.21,13.71
18,Tuktoyaktuk,20,CA,1580678204,73,69.45,-133.04,-31.0,9.17
19,Kahului,40,US,1580677655,61,20.89,-156.47,78.8,20.8
20,Kodiak,90,US,1580678207,86,57.79,-152.41,33.8,25.28
21,Hobart,40,AU,1580678172,71,-42.88,147.33,50.0,9.17
22,Punta Arenas,90,CL,1580678209,71,-53.15,-70.92,55.0,6.93
23,Jamestown,90,US,1580677931,80,42.1,-79.24,37.99,9.17
24,North Platte,1,US,1580678212,20,41.12,-100.77,66.2,14.99
25,Mataura,97,NZ,1580678213,99,-46.19,168.86,62.01,4.85
26,Pevek,100,RU,1580678214,98,69.7,170.31,-17.9,3.47
27,Hastings,100,GB,1580678215,93,50.86,0.57,52.0,19.46
28,Tasiilaq,88,GL,1580677680,73,65.61,-37.64,23.0,16.11
29,Kendari,96,ID,1580678218,96,-3.94,122.5,72.32,2.26
30,Saint George,1,US,1580678023,30,37.1,-113.58,68.0,4.7
31,Arraial do Cabo,75,BR,1580678221,88,-22.97,-42.03,80.6,3.36
32,Vaini,75,TO,1580678222,88,-21.2,-175.2,77.0,10.29
33,Port Lincoln,97,AU,1580677789,68,-34.73,135.87,62.44,12.8
34,Caiaponia,100,BR,1580678224,82,-16.96,-51.81,78.51,2.28
35,Adwa,29,ET,1580678226,78,14.16,38.9,58.26,2.17
36,Katsuura,75,JP,1580677803,70,35.13,140.3,46.4,6.93
37,Vanimo,100,PG,1580678228,80,-2.67,141.3,82.36,13.65
38,Magadan,0,RU,1580678229,74,59.57,150.8,-10.41,10.83
39,Esperance,90,AU,1580678231,63,-33.87,121.9,60.8,6.93
40,Cidreira,19,BR,1580678232,81,-30.18,-50.21,75.83,22.01
41,Busselton,0,AU,1580678233,45,-33.65,115.33,61.0,17.02
42,Pacific Grove,1,US,1580678135,41,36.62,-121.92,59.0,14.99
43,Sorland,40,NO,1580678236,86,67.67,12.69,30.2,3.36
44,San Quintin,0,MX,1580678073,47,30.48,-115.95,67.42,9.73
45,Rocha,3,UY,1580677706,47,-34.48,-54.33,85.24,14.63
46,Henties Bay,11,NA,1580677776,93,-22.12,14.28,63.0,1.01
47,Port Alfred,100,ZA,1580678240,97,-33.59,26.89,73.0,1.01
48,Albany,90,US,1580678242,69,42.6,-73.97,37.99,2.59
49,Kosh-Agach,0,RU,1580678243,60,50.0,88.67,-14.35,1.52
50,Kattivakkam,20,IN,1580678244,83,13.22,80.32,75.2,8.66
51,Airai,100,TL,1580677775,89,-8.93,125.41,67.5,4.23
52,Provideniya,77,RU,1580678247,88,64.38,-173.3,-18.17,19.3
53,Ushuaia,40,AR,1580678245,38,-54.8,-68.3,59.0,14.99
54,Vostok,100,RU,1580677972,97,46.49,135.88,-7.42,3.76
55,Saldanha,76,ZA,1580677855,88,-33.01,17.94,64.4,4.7
56,General Roca,20,AR,1580678252,15,-39.03,-67.58,89.6,11.41
57,Kapaa,40,US,1580678253,69,22.08,-159.32,75.2,5.82
58,San Patricio,90,MX,1580678254,62,19.22,-104.7,84.2,5.82
59,New Iberia,1,US,1580678256,40,30.0,-91.82,72.0,14.99
60,Arvika,73,SE,1580678257,64,59.66,12.59,34.0,9.17
61,Bethel,90,US,1580678258,60,41.37,-73.41,43.0,8.05
62,Nanortalik,0,GL,1580678259,52,60.14,-45.24,21.0,14.0
63,Kaitangata,100,NZ,1580677875,75,-46.28,169.85,64.0,13.51
64,Koumac,87,NC,1580678262,71,-20.57,164.28,79.34,5.97
65,Sao Filipe,0,CV,1580677904,57,14.9,-24.5,72.72,8.9
66,Pisco,40,PE,1580678264,30,-13.7,-76.22,73.99,21.92
67,Hambantota,0,LK,1580677681,74,6.12,81.12,78.48,18.05
68,Cape Town,90,ZA,1580678041,93,-33.93,18.42,71.01,12.75
69,Rundu,68,NA,1580678268,50,-17.93,19.77,73.92,4.43
70,Upernavik,0,GL,1580678269,91,72.79,-56.15,-25.56,6.31
71,Los Llanos de Aridane,0,ES,1580678271,18,28.66,-17.92,73.4,9.17
72,Ribeira Grande,40,PT,1580678272,76,38.52,-28.7,55.4,6.93
73,Saskylakh,100,RU,1580678273,91,71.92,114.08,-16.02,7.38
74,Avarua,38,CK,1580678274,74,-21.21,-159.78,82.4,11.41
75,Rawson,75,AR,1580678276,55,-43.3,-65.1,64.74,27.27
76,Poya,100,NC,1580678277,78,-21.35,165.15,80.17,7.36
77,Malazgirt,4,TR,1580678278,86,39.14,42.54,6.55,2.33
78,Campos,20,BR,1580678280,74,-21.75,-41.3,84.2,11.41
79,Tual,100,ID,1580678281,77,-5.67,132.75,83.93,8.88
80,Haines Junction,0,CA,1580678282,74,60.75,-137.51,-8.77,1.95
81,Naze,52,JP,1580678283,93,28.37,129.48,48.2,4.7
82,Ponta do Sol,20,PT,1580678285,77,32.67,-17.1,66.2,16.11
83,The Valley,20,AI,1580678286,69,18.22,-63.06,86.0,8.05
84,George Town,20,MY,1580678017,65,5.41,100.34,80.6,10.29
85,Hilo,90,US,1580678289,83,19.73,-155.09,73.0,5.82
86,Hermanus,33,ZA,1580678290,87,-34.42,19.23,72.0,16.11
87,Saint George's,20,GD,1580678281,70,12.06,-61.75,84.2,13.87
88,San Jeronimo,50,PE,1580678293,60,-11.95,-75.28,56.89,9.66
89,Ayagoz,0,KZ,1580678294,62,47.97,80.44,9.41,2.35
90,Khatanga,13,RU,1580678295,84,71.97,102.5,-26.41,2.84
91,Araouane,0,ML,1580678296,10,18.9,-3.53,70.93,7.99
92,Mahebourg,40,MU,1580678297,94,-20.41,57.7,78.8,14.99
93,Labuhan,89,ID,1580678299,96,-6.88,112.21,73.33,3.53
94,Mangrol,34,IN,1580678300,63,21.12,70.12,70.77,11.92
95,Kosa,100,RU,1580678301,92,59.94,55.0,23.07,11.01
96,Esim,0,GH,1580678066,82,4.87,-2.24,79.09,3.13
97,Zhanaozen,8,KZ,1580678304,85,43.3,52.8,30.7,3.29
98,Humaita,99,BR,1580678305,89,-7.51,-63.02,83.86,0.98
99,Atuona,0,PF,1580678306,74,-9.8,-139.03,81.39,16.44
100,Laguna,75,US,1580678307,54,38.42,-121.42,60.01,11.41
101,Abonnema,94,NG,1580678309,64,4.71,6.79,75.2,9.22
102,Loandjili,40,CG,1580678310,88,-4.76,11.86,82.4,4.7
103,Lata,67,PT,1580678311,93,40.16,-8.33,62.01,2.24
104,Thinadhoo,98,MV,1580678313,74,0.53,72.93,81.46,12.86
